clust,lden,den,ID,Lat,Lon,depth,Country_number,Code,Grav_tot,reg_pop_growth,MPA_SCORE,RATING,Productivity_mean
94,-0.356674944,0.4,215,-10.52,143.09,0,2,AUS,1,0.006797939,0,none,678.6541123
95,-0.356674944,0.4,216,-10.53,141.47,0,2,AUS,1,0.009615284,0,none,816.7890672
96,-0.130682382,0.6,217,-10.5,141.23,1,2,AUS,1,0.002666929,0,none,732.4577359
97,-0.356674944,0.4,218,-10.61,141.91,0,2,AUS,1,0.006225764,0,none,997.8991185
98,0.855093908,4,221,-10.74,141.06,1,2,AUS,1,2.83E-07,0,none,708.9616538
99,-0.223143551,0.5,222,-10.7593,40.6252,1,6,MOZ,27,133.6430588,0,none,24354.69067
100,0.086976654,0.9,223,-10.79,142.97,0,2,AUS,1,0.00450541,2,Partially Effective,728.7779574
101,-0.223143551,0.5,224,-10.8977,40.661,0.5,6,MOZ,20,125.6614416,0,none,40089.22873
102,-0.130682382,0.6,225,-10.89,130.1,1,2,AUS,1,0.003641801,0,none,699.8529341
103,-0.356674944,0.4,226,-10.89,132.78,1,2,AUS,0,0.000784945,0,none,961.143306
104,-0.356674944,0.4,231,-10.9,133.03,1,2,AUS,0,0.000932834,0,none,814.744768
105,1.303285516,5.5625,232,-11.0382,40.6955,0.5,6,MOZ,17,117.9483558,0,none,64366.79145
106,-0.130682382,0.6,233,-11.11,143.02,0,2,AUS,1,0.003276567,0,none,708.6606957
107,0.261557671,2.3,235,-11.13,129.91,1,2,AUS,1,0.007823907,0,none,846.6287411
108,-0.180850056,0.55,237,-11.22,136.69,0,2,AUS,0,0.007209444,0,none,50577.14041
109,-0.118021449,0.6,239,-11.23,143.35,0,2,AUS,1,2.32E-05,2,Partially Effective,684.5
110,-0.23101773,0.5,241,-11.29,133.8,1,2,AUS,0,0.002865055,0,none,805.4558263
111,0.09531018,0.8,242,-11.37,143.99,1,2,AUS,0,3.41E-07,2,Partially Effective,465.1032274
112,0.318414359,1.15,245,-11.44,134.14,1,2,AUS,0,0.002856679,0,none,905.584762
113,-0.130682382,0.6,246,-11.45,133.71,1,2,AUS,0,0.00201435,0,none,1075.435133
114,-0.356674944,0.4,247,-11.49,143.85,0,2,AUS,0,2.44E-06,2,Partially Effective,641.9754462
115,-0.356674944,0.4,248,-11.55,136.42,0,2,AUS,0,0.005548764,0,none,15360.94935
116,-0.168189123,0.55,249,-11.61,136.89,1,2,AUS,0,0.00518056,0,none,656.3794023
117,-0.356674944,0.4,251,-11.63,136.93,1,2,AUS,0,0.005308834,0,none,661.8734794
118,1.003435424,4.75,253,-11.6619,169.291,0.5,4,SLB,0,28.08477167,0,none,168.9258063
119,0.09531018,0.8,254,-11.66,136.83,0,2,AUS,0,0.004624871,0,none,10560.94626
120,0.768030221,2.4375,259,-11.6943,40.5957,0.5,6,MOZ,21,73.31002655,0,none,30928.8854
121,-0.243678663,0.5,261,-11.77,143.65,0,2,AUS,0,9.65E-06,2,Partially Effective,749.6617802
122,-0.410490276,0.375,262,-11.8172,96.8167,1,2,AUS,0,-0.046725385,3,Not Effective,258.1146262
123,0.774094831,2.6875,265,-11.832,40.5637,0.5,6,MOZ,29,68.2743092,0,none,51093.8006
124,1.236796445,5.875,267,-11.9233,40.4917,1,6,MOZ,74,69.18929893,0,none,35189.926
125,-0.356674944,0.4,268,-11.94,135.6,0,2,AUS,0,0.00201156,0,none,1246.845496
126,-0.356674944,0.4,269,-11.97,123.32,1,2,AUS,3,1.59E-06,0,none,286.5733272
127,-0.356674944,0.4,271,-11.97,123.36,0.5,2,AUS,3,1.59E-06,0,none,295.2006806
128,-0.356674944,0.4,278,-11.98,143.65,1,2,AUS,0,0.00024283,2,Partially Effective,684.2674208
129,-0.356674944,0.4,279,-12.06,136.61,0,2,AUS,0,0.002996099,0,none,22901.91539
130,0.048790164,0.75,280,-12.0702,96.8421,1,2,AUS,1,-0.046725385,0,none,265.326964
131,-0.105360516,0.6,281,-12.07,136.87,0,2,AUS,10,0.003313511,0,none,848.871027
132,-0.223143551,0.5,282,-12.0838,96.7533,1,2,AUS,1,-0.046725385,0,none,265.6860654
133,-0.356674944,0.4,292,-12.09,143.26,0,2,AUS,0,0.000122685,2,Partially Effective,43471.41725
134,0.024395082,0.8,288,-12.09,136.83,0.5,2,AUS,10,0.00315836,0,none,876.7468617
135,1.350135007,3.5625,293,-12.1027,96.8912,1,2,AUS,3,-0.046725385,0,none,267.4759683
136,0.238117089,1.2,296,-12.11,136.79,0,2,AUS,10,0.002957916,0,none,901.0986789
137,-0.410490276,0.375,297,-12.1329,96.8317,1,2,AUS,1,-0.046725385,0,none,272.7169228
138,0.350309598,1.125,298,-12.135,96.905,1,2,AUS,3,-0.046725385,0,none,269.674506
139,-0.356674944,0.4,303,-12.16,143.65,0,2,AUS,0,0.000211348,2,Partially Effective,871.3496983
140,-0.356674944,0.4,308,-12.19,123.08,0,2,AUS,3,1.59E-06,2,Partially Effective,306.9511804
141,-0.356674944,0.4,306,-12.18,123.11,0,2,AUS,3,1.59E-06,2,Partially Effective,308.2836582
142,0.298042734,1.625,307,-12.1987,96.8313,1,2,AUS,0,-0.046725385,0,none,273.9268977
143,-0.23101773,0.5,310,-12.21,123.04,0,2,AUS,3,1.59E-06,2,Partially Effective,305.7902539
144,-0.356674944,0.4,316,-12.24,122.99,0,2,AUS,3,1.59E-06,2,Partially Effective,305.6902611
145,1.840549633,11.625,318,-12.276,40.6183,0,6,MOZ,34,222.1481903,3,Not Effective,50700.22685
146,-0.356674944,0.4,319,-12.28,143.4,0,2,AUS,0,0.000135467,2,Partially Effective,4325.982586
147,-0.166139931,0.6,324,-12.34,130.85,1,2,AUS,849,0.109161106,0,none,1637.19479
148,-0.356674944,0.4,326,-12.38,143.77,0,2,AUS,0,0.000230303,2,Partially Effective,718.5709629
149,-0.130682382,0.6,328,-12.41,130.79,1,2,AUS,23,0.110242624,0,none,22902.18932
150,-0.356674944,0.4,330,-12.47,130.84,0,2,AUS,2270,0.107379702,0,none,47204.19347
151,-0.356674944,0.4,331,-12.48,130.79,1,2,AUS,23,0.10909853,0,none,50973.38154
152,-0.356674944,0.4,333,-12.4,143.37,0,2,AUS,0,0.000125644,2,Partially Effective,18546.41486
153,0.278735316,1.5625,334,-12.5025,40.6357,0.5,6,MOZ,26,233.4418309,3,Not Effective,43889.55952
154,-0.356674944,0.4,338,-12.53,123.58,1,2,AUS,2,1.59E-06,1,Effective,241.4549898
155,-0.081571078,0.75,339,-12.5666,-37.9946,0,7,BRA,444,802.7672016,0,none,36543.14094
156,0.438254931,1.25,340,-12.5667,45.1667,0,8,FRA,31,1158.935338,0,none,10914.27392
157,-0.23101773,0.5,341,-12.56,124.04,1,2,AUS,2,1.47E-06,0,none,253.7992003
158,-0.356674944,0.4,342,-12.56,130.86,1,2,AUS,43,0.104347292,0,none,65535
159,1.557645754,14.1875,344,-12.638,40.623,1,6,MOZ,24,233.0262386,3,Not Effective,48923.61203
160,-0.356674944,0.4,345,-12.63,143.58,0,2,AUS,0,0.000141908,2,Partially Effective,43222.3863
161,0.262364264,1,346,-12.686,45.0388,1,8,FRA,427,1122.23339,0,none,56529.21951
162,0.682407665,1.6875,347,-12.7142,45.1348,0,8,FRA,559,1179.914149,0,none,65535
163,-0.597837001,0.25,349,-12.7404,45.233,0,8,FRA,674,1272.271078,0,none,64177.83816
164,1.793812784,13.125,350,-12.7612,45.066,0,8,FRA,427,1158.935338,0,none,52528.34981
165,0.515813165,1.375,352,-12.8172,45.2369,0,8,FRA,689,1311.636529,0,none,64727.1319
166,1.073294481,2.625,353,-12.8474,48.5808,0,9,MDG,21,408.7601776,0,none,772.5546651
167,0.405000479,1.25,354,-12.8643,45.2712,0,8,FRA,66,1391.519955,0,none,64372.64704
168,-0.356674944,0.4,356,-12.87,143.82,0,2,AUS,0,0.000192932,2,Partially Effective,699.1286836
169,-0.356674944,0.4,362,-12.89,136.73,0,2,AUS,0,0.002849005,0,none,5629.869932
170,0.243522548,1,360,-12.8938,45.2124,0,8,FRA,258,1373.406894,0,none,61594.21782
171,-0.356674944,0.4,363,-12.8,124.28,1,2,AUS,1,3.11E-08,0,none,264.2836053
172,0.304882786,1.25,365,-12.9058,45.0746,0,8,FRA,111,1285.289819,0,none,9394.079715
173,-0.597837001,0.25,366,-12.9373,44.9667,1,8,FRA,43,1220.269173,0,none,314.844795
